date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-12 11:52:56,We4EverOvercome,,0,0,0,"Every day I work on democrat polls trying to make sure they vote for them and because I was successful instead of welcoming my ideas to make change in return for my gesture of good faith they felt they no longer need an unimportant nigger like me because they got what they needed",,,,1304749833392197632,https://twitter.com/We4EverOvercome/status/1304749833392197632
2020-09-12 11:52:05,_itsalwaysdaryl,,0,0,0,"some of y'all like celebrities a lil too much",,,,1304749621000974337,https://twitter.com/_itsalwaysdaryl/status/1304749621000974337
2020-09-12 11:51:56,Shekelzs,,0,0,1,"niggers",,,,1304749584736903168,https://twitter.com/Shekelzs/status/1304749584736903168
2020-09-12 11:51:22,PrimoLeRat,,1,0,1,"Nigger",,,,1304749441811976192,https://twitter.com/PrimoLeRat/status/1304749441811976192
2020-09-12 11:49:48,kkamyoongi,peakybIynders,0,0,0,"... notchuhttps://twitter.com/peakybiynders/status/1304609171480940544 …",,,,1304749047656390657,https://twitter.com/kkamyoongi/status/1304749047656390657
2020-09-12 11:49:03,AHeroofOurTime2,rozietoez,3,0,1,"That's not true. If I was call a nigger I think the majority of people would call that out",,,,1304748859034341376,https://twitter.com/AHeroofOurTime2/status/1304748859034341376
2020-09-12 11:48:27,Nigger__Queen,,0,0,3,"ワロス",,,,1304748705380102144,https://twitter.com/Nigger__Queen/status/1304748705380102144
2020-09-12 11:45:07,scofieldagr8,de_thuli,0,0,0,"",,,,1304747866628521984,https://twitter.com/scofieldagr8/status/1304747866628521984
2020-09-12 11:44:09,Nigger__Queen,,0,0,3,"最低すぎるpic.twitter.com/v2l7wuZn42",,,,1304747623673245697,https://twitter.com/Nigger__Queen/status/1304747623673245697
2020-09-12 11:42:35,Chinobong,,1,0,0,"make me work like some unpaid nigger they piss on for ages",,,,1304747230377775107,https://twitter.com/Chinobong/status/1304747230377775107
2020-09-12 11:42:20,TaySupreme,,1,1,0,"Nigger",,,,1304747166867521536,https://twitter.com/TaySupreme/status/1304747166867521536
2020-09-12 11:41:48,DragonboyNobi,,0,0,0,"Imagine you marry a white woman and she calls you a “Nigger” mid-Honeymoon",,,,1304747035661344769,https://twitter.com/DragonboyNobi/status/1304747035661344769
2020-09-12 11:40:56,TvdYa,TwittahVictoria,0,0,0,"I don't imagine that Wifebot would be too pleased with you when that monstrosity appears on your doorstep.",,,,1304746813900099586,https://twitter.com/TvdYa/status/1304746813900099586
2020-09-12 11:39:53,MurderStomp,signor_bobby,0,0,0,"As it should behttps://twitter.com/signor_bobby/status/1304698248054083585 …",,,,1304746550686433282,https://twitter.com/MurderStomp/status/1304746550686433282
2020-09-12 11:38:03,MurderStomp,_sarah510,0,0,0,"My shit go away for once lol (◕‿◕✿)(◕‿◕✿)(◕‿◕✿)https://twitter.com/_sarah510/status/1304675361888690183 …",,,,1304746089740816384,https://twitter.com/MurderStomp/status/1304746089740816384
2020-09-12 11:36:13,csms_flex,,0,0,0,"What does Meek Mill, J Cole, Nipsey, Jay Z and Big Sean have in common asides rap",,,,1304745629608968192,https://twitter.com/csms_flex/status/1304745629608968192
2020-09-12 11:35:57,Melz_Chromatic,,0,0,0,"Fullham wants to slaughter these niggers.",,,,1304745561040486403,https://twitter.com/Melz_Chromatic/status/1304745561040486403
2020-09-12 11:35:27,24TEAJAY,,0,0,1,"I’m a nigger",,,,1304745434863280128,https://twitter.com/24TEAJAY/status/1304745434863280128
2020-09-12 11:35:12,MurderStomp,BreadandM,0,0,1,"I'll suehttps://twitter.com/breadandm/status/1304744514326876160 …",,,,1304745373559185408,https://twitter.com/MurderStomp/status/1304745373559185408
2020-09-12 11:34:30,_itsalwaysdaryl,wowimfine,0,0,0,"Blacks already do this",,,,1304745194647105536,https://twitter.com/_itsalwaysdaryl/status/1304745194647105536
2020-09-12 11:33:31,MpumeAndileLemb,BassieKayy,0,0,0,"Bathong them niggers we have babies wtf is this shit https://twitter.com/BassieKayy/status/1304728466248605696 …",,,,1304744948160491522,https://twitter.com/MpumeAndileLemb/status/1304744948160491522
2020-09-12 11:32:55,kereno_o,,1,0,0,"I’m getting called all types of “bitch” and “house nigger” ... like what am I doing?",,,,1304744796028837888,https://twitter.com/kereno_o/status/1304744796028837888
2020-09-12 11:32:31,SamuelGayle1,,0,0,0,"This happened to me not so long ago in a town i hadnt seen for somewhiles. Man the streets were so jam packed with niggers that when i desired explore all the shops i was stuck to two shops because in their number harrasment was on the cards",,,,1304744696959381504,https://twitter.com/SamuelGayle1/status/1304744696959381504
2020-09-12 11:26:43,_itsalwaysdaryl,MadeInHawaii___,0,0,0,"lmaooo I see now, but look, they got it at Target, gas stations. Its good for the digestive system. Its like Gingerale but w/ vinegar",,,,1304743236926308353,https://twitter.com/_itsalwaysdaryl/status/1304743236926308353
2020-09-12 11:25:46,DarkRiketz,,0,0,0,"Encore une preuve de l'ignorance crasse de l'Américain·e moyen·ne : un prof de linguistique prononce le mot 那个 (""nay-guh"") qui en chinois veut dire ""hum"" ou ""ça"", ça ressemble à ""nigger"" (nègre), du coup il est viré. Puis la Chine en entend parler https://www.bbc.com/news/world-asia-china-54107329 …",,,,1304742998551465984,https://twitter.com/DarkRiketz/status/1304742998551465984
2020-09-12 11:23:45,rick_sanchez097,,0,0,0,"These goddamn niggers are sabotaging me",,,,1304742493146279938,https://twitter.com/rick_sanchez097/status/1304742493146279938
2020-09-12 11:22:47,_itsalwaysdaryl,friedgreentits,0,0,0,"I been quiet, but I peeped you cheating on me. Dates?",,,,1304742249817944064,https://twitter.com/_itsalwaysdaryl/status/1304742249817944064
2020-09-12 11:22:12,rick_sanchez097,,0,0,0,"I fucking hate niggers",,,,1304742101108879367,https://twitter.com/rick_sanchez097/status/1304742101108879367
